word,count,date,Longitude,Latitude
germany,1,20040701,13.4,52.516667
france,2,20040701,2.333333,48.866667
spain,2,20040701,-3.683333,40.4
hamburg,1,20040702,10,53.55
armenia,1,20040707,44.513611,40.181111
kawasaki,1,20040707,139.68,35.53
india,1,20040707,77.2,28.6
france,1,20040708,2.333333,48.866667
london,1,20040712,-0.17,51.5
china,1,20040712,116.388333,39.928889
chicago,1,20040712,-87.75,41.83
london,2,20040714,-0.17,51.5
austria,1,20040714,16.366667,48.2
canada,1,20040714,-75.7,45.416667
china,1,20040714,116.388333,39.928889
japan,1,20040714,139.751389,35.685
france,1,20040714,2.333333,48.866667
taiwan,1,20040714,121.531846,25.047763
haiti,1,20040715,-72.335,18.539167
chicago,1,20040715,-87.75,41.83
georgia,3,20040719,44.790833,41.725
chad,1,20040719,15.048173,12.108502
taipei,1,20040720,121.45,25.02
chicago,1,20040720,-87.75,41.83
albania,3,20040720,19.818889,41.3275
taiwan,1,20040720,121.531846,25.047763
houston,1,20040720,-95.33,29.83
pune,1,20040720,73.97,18.57
tokyo,1,20040720,139.75,35.67
seoul,1,20040720,10776201,127
japan,1,20040720,139.751389,35.685
china,3,20040721,116.388333,39.928889
tokyo,1,20040721,139.75,35.67
japan,2,20040721,139.751389,35.685
shanghai,1,20040721,121.47,31.23
taiwan,8,20040722,121.531846,25.047763
japan,13,20040722,139.751389,35.685
china,27,20040722,116.388333,39.928889
canada,1,20040722,-75.7,45.416667
georgia,1,20040723,44.790833,41.725
mexico,1,20040723,-99.138611,19.434167
colombia,2,20040723,-74.083333,4.6
france,1,20040723,2.333333,48.866667
canada,1,20040726,-75.7,45.416667
taipei,1,20040727,121.45,25.02
taiwan,5,20040727,121.531846,25.047763
china,11,20040727,116.388333,39.928889
mexico,1,20040727,-99.138611,19.434167
canada,1,20040727,-75.7,45.416667
japan,12,20040727,139.751389,35.685
alger,12,20040727,3,36.75
australia,1,20040727,149.216667,-35.283333
japan,1,20040728,139.751389,35.685
india,10,20040728,77.2,28.6
canada,1,20040728,-75.7,45.416667
brazil,1,20040728,-47.916667,-15.783333
mexico,1,20040729,-99.138611,19.434167
canada,1,20040729,-75.7,45.416667
