Abidjan,-4.02,5.32
Adana,35.32,37
ADDIS ABABA,38.7,9.05
Adelaide,138.6,-34.93
Ahmedabad,72.67,23
Aleppo,37.17,36.23
Alexandria,29.92,31.22
ALGER,3,36.75
ALMATY,76.92,43.32
ANKARA,32.83,39.92
Anshan,122.95,41.12
BAGHDAD,44.43,33.33
BAKU,49.88,40.37
Bandung,107.57,-6.95
Bangalore,77.58,12.97
Barcelona,2.17,41.42
BEIJING,116.4,39.93
Belem,-48.48,-1.45
Belo Horizonte,-43.9,-19.9
BEOGRAD,20.5,44.83
BERLIN,13.42,52.53
Bhopal,77.47,23.28
Birmingham,-1.92,52.47
Bombay,72.85,18.98
Botou,110.05,40.6
BRASILIA,-47.67,-15.92
Brisbane,153,-27.5
BUCURESTI,26.17,44.45
BUDAPEST,19.08,47.5
BUENOS AIRES,-58.5,-34.67
Bursa,29.07,40.2
Busan,3802319,129.02
Cordoba,-64.17,-31.33
CAIRO,31.25,30.05
Calcutta,88.33,22.5
CARACAS,-66.93,10.54
Cartagena,-75.5,10.4
Changchun,125.35,43.87
Changsha,112.97,28.2
Chaozhou,116.63,23.68
Chelyabinsk,61.42,55.2
Chengdu,104.07,30.67
Chicago,-87.75,41.83
Chiniot,73,31.67
Chongqing,106.58,29.57
Curitiba,-49.42,-25.42
Daegu,2255805,128.6
Daejean,1182932,127.43
DAKAR,-17.48,14.72
Dalian,121.65,38.92
Dallas,-96.83,32.83
DAMASCUS,36.32,33.5
Dar es Salaam,39.3,-6.88
Datong,113.3,40.08
Delhi,77.23,28.67
Dengzhou,112.08,32.68
Deyang,104.4,31.13
Dingzhou,115,38.5
Dnepropetrovsk,35,48.48
Donetsk,37.83,48
Dongshan,113.37,22.52
Dongwan,113.73,23.03
Douala,9.72,4.07
Ecatepec,-99.07,19.58
Ekaterinoburg,60.6,56.85
El Jadida,-8.5,33.21
Esfahan,51.68,32.68
Fengcheng,115.77,28.2
Fortaleza,-38.58,-3.75
Fukuoka,130.5,33.5
Fulin,102.72,29.35
Fushun,123.88,41.87
Fuzhou,119.3,26.08
Giza,30.85,30.05
Guadalajara,-103.33,20.67
Guangzhou,113.25,23.12
GUATEMALA,-90.37,14.63
Guayaquil,-79.92,-2.22
Guikong,111.72,22.33
Guiyang,106.72,26.58
Hamburg,10,53.55
Handan,114.48,36.58
Hangzhou,120.17,30.25
HANOI,105.87,21.02
Haozhou,118.5,30.18
HARARE,31.05,-17.83
Harbin,126.65,45.75
Hefei,117.28,31.85
Hengyang,112.35,26.97
Heze,115.45,35.23
Hiroshima,132.45,34.38
Ho Chi Minh,106.72,10.77
Hong Kong,114.17,22.27
Houston,-95.33,29.83
Huainan,116.98,32.63
Huaiyin,119.03,33.58
Huzhou,120.1,30.87
Hyderabad,78.43,17.37
Hyderabad,78.43,17.37
Inchon,2203102,126.67
Istanbul,28.95,41.03
Izmir,27.17,38.42
JAKARTA,106.75,-6.13
Jiaozuo,113.22,35.25
Jiaxing,120.75,30.77
Jilin,126.55,43.85
Jinan,117,36.67
Jingmen,112.1,31.03
Jinhua,119.65,29.12
Jinin,116.55,35.4
Jinxi,120.83,40.75
KABUL,69.17,34.5
Kanpur,80.23,26.45
Kawasaki,139.68,35.53
Kazan,49.17,55.75
Kharkov,36.25,50
Khon Kaen,102.83,16.42
KIEV,30.5,50.42
KINSHASA,2664309,15.3
Kitakyushu,130.82,33.87
Kobe,135.2,34.68
KUALA LUMPUR,101.7,3.13
Kunming,102.68,25.07
Kwangchu,1236312,126.92
Kyoto,135.75,35.03
LA HABANA,-82.37,23.13
La Matanza,-58.58,-34.75
Lagos,3.47,6.45
Langfang,116.68,39.52
Lanzhou,103.68,36.05
Lianyuan,111.67,27.68
LIMA,-77.05,-12.1
Linyi,118.33,35.08
Liupanshui,104.87,26.55
LONDON,-0.17,51.5
Los Angeles,-118.17,34
Lucknow,80.9,26.83
Ludhiana,75.87,30.93
Luoyang,112.47,34.68
Munchen,11.58,48.13
Macheng,115.03,31.18
Madras,80.28,13.08
MADRID,-3.71,40.41
Manaus,-60,-3.1
MANILA,120.97,14.62
Maracaibo,-71.66,10.73
Mashhad,59.57,36.27
Medan,98.65,3.58
Melbourne,144.97,-37.75
MEXICO,8235744,-99.17
Mianyang,104.77,31.47
MINSK,27.5,53.85
Monterrey,-100.33,25.67
MONTEVIDEO,-56.17,-34.87
Montreal,-73.5833,45.5
MOSCOW,37.7,55.75
Nagoya,136.88,35.13
Nagpur,79.2,21.17
NAIROBI,36.83,-1.28
Nanchang,115.88,28.68
Nanjiang,118.78,32.05
Nanning,108.32,22.82
Nantong,118.17,26.63
Neijiang,105.05,29.58
Netzahualcoyotl,99.03,19.42
New York,-73.98,40.75
Ningbo,121.55,29.88
Nizhny Novgorod,44,56.33
Novosibirsk,83.08,55.07
Odessa,30.75,46.5
Okara,73.52,30.82
Omsk,73.37,55
Osaka,135.5,34.67
Porto Alegre,-51.17,-30.05
Padova,11.88,45.4
Palembang,104.75,-2.98
Palermo,13.38,38.1
Palmira,-76.28,3.55
PARIS,2.33,48.87
Parma,10.32,44.8
Perm,56.17,58.02
Perth,115.82,-31.97
Philadelphia,-75.17,40
Phoenix,-112.17,33.5
Pingdingshan,113.3,33.73
Pinxiang,113.85,27.62
PRAHA,14.43,50.1
Pune,73.97,18.57
Qingdo,120.32,36.07
Qiqihar,124,47.35
Quezon City,121.03,14.65
QUITO,-78.5,-0.23
Rajshahi,88.67,24.4
Recife,-34.88,-8.06
Rio de Janeiro,-43.28,-22.88
Rizhao,119.45,35.43
Rostov-na-Donu,39.75,47.25
Saidpur,89,25.8
Salvador,-38.48,-12.97
Samara,50.17,53.17
San Diego,-117.17,32.83
SANTIAGO,-70.67,-33.5
SANTO DOMINGO,-69.95,18.5
Sao Paolo,-46.63,-23.55
Sapporo,141.35,43.08
Semarang,110.48,-6.97
SEOUL,10776201,127
Shanghai,121.47,31.23
Shaoxing,120.57,30
Sheikhu Pura,74.13,31.7
Shenyang,123.45,41.8
Shijianzhuang,114.48,38.05
Shiraz,52.57,29.63
SINGAPORE,103.85,1.28
Siping,124.33,43.17
SOFIA,23.3,42.67
St. Petersburg,30.42,59.92
Suinin,105.53,30.53
Surabaya,112.75,-7.23
Surat,72.9,21.17
Suzhou,120.62,31.3
Sydney,151.17,-33.92
Tabriz,46.3,38.08
Taian,117.12,36.2
Taipei,121.45,25.02
Taiyan,112.55,37.87
Tanger,-5.83,35.74
Tangerang,106.62,-6.18
Tangshan,114.73,37.33
TASHKENT,69.22,41.27
TBILISI,44.8,41.72
TEHRAN,51.43,35.67
Tianjin,117.2,39.13
Tianmen,113.1,30.65
Tianshui,105.92,34.6
Tieling,123.82,42.3
Tokyo,139.75,35.67
Tonghua,125.75,41.68
Tulua,-76.2,4.08
Ufa,55.97,54.75
Ujung Pandang,119.47,-5.15
Urumqi,87.58,43.8
Vadodara,73.23,22.32
Valencia,-67.98,10.23
Vienna,16.37,48.22
WARSAW,21,52.25
Weifang,119.1,36.72
Weihai,122.1,37.5
Wenzhou,120.65,28.02
Wuhan,114.27,30.58
Wuxi,120.3,31.58
Xian,108.9,34.27
Xiangfan,112.13,32.02
Xiangtan,112.9,27.85
Xiantao,113.4,30.38
Xiaocan,113.9,30.92
Xinxiang,113.87,35.32
Xuchang,113.82,34.02
Xuzhou,117.18,34.27
YANGON,96.17,16.78
Yangzhou,119.43,32.4
Yantai,121.4,37.53
Yokohama,139.63,35.47
Yueyang,113.1,29.38
